,Q
0,"[0.0108127  0.0216254  0.0324381  0.0432508  0.0540635  0.0648762
 0.0756889  0.0865016  0.0973143  0.108127   0.1189397  0.1297524
 0.1405651  0.1513778  0.1621905  0.1730032  0.1838159  0.1946286
 0.2054413  0.216254   0.2270667  0.2378794  0.2486921  0.2595048
 0.2703175  0.2811302  0.2919429  0.3027556  0.3135683  0.324381
 0.3351937  0.3460064  0.3568191  0.3676318  0.3784445  0.3892572
 0.40006989 0.41088259 0.42169529 0.43250799 0.44332069 0.45413339
 0.46494609 0.47575879 0.48657149 0.49738419 0.50819689 0.51900959
 0.52982229 0.54063499 0.55144769 0.56226039 0.57307309 0.58388579
 0.59469849 0.60551119 0.61632389 0.62713659 0.63794929 0.64876199
 0.65957469 0.67038739 0.68120009 0.69201279 0.70282549 0.71363819
 0.72445089 0.73526359 0.74607629 0.75688899 0.76770169 0.77851439
 0.78932709 0.80013979 0.81095249 0.82176519 0.83257789 0.84339059
 0.85420329 0.86501599 0.87582869 0.88664139 0.89745409 0.90826679
 0.91907949 0.92989219 0.94070489 0.95151759 0.96233029 0.97314299
 0.98395569 0.99476839 1.00558109 1.01639379 1.02720649 1.03801919
 1.04883189 1.05964459 1.07045729 1.08126999]"
1,"[0.010808   0.02161599 0.03242399 0.04323199 0.05403998 0.06484798
 0.07565598 0.08646398 0.09727197 0.10807997 0.11888797 0.12969596
 0.14050396 0.15131196 0.16211995 0.17292795 0.18373595 0.19454395
 0.20535194 0.21615994 0.22696794 0.23777593 0.24858393 0.25939193
 0.27019992 0.28100792 0.29181592 0.30262392 0.31343191 0.32423991
 0.33504791 0.3458559  0.3566639  0.3674719  0.37827989 0.38908789
 0.39989589 0.41070389 0.42151188 0.43231988 0.44312788 0.45393587
 0.46474387 0.47555187 0.48635986 0.49716786 0.50797586 0.51878386
 0.52959185 0.54039985 0.55120785 0.56201584 0.57282384 0.58363184
 0.59443983 0.60524783 0.61605583 0.62686383 0.63767182 0.64847982
 0.65928782 0.67009581 0.68090381 0.69171181 0.7025198  0.7133278
 0.7241358  0.73494379 0.74575179 0.75655979 0.76736779 0.77817578
 0.78898378 0.79979178 0.81059977 0.82140777 0.83221577 0.84302376
 0.85383176 0.86463976 0.87544776 0.88625575 0.89706375 0.90787175
 0.91867974 0.92948774 0.94029574 0.95110373 0.96191173 0.97271973
 0.98352773 0.99433572 1.00514372 1.01595172 1.02675971 1.03756771
 1.04837571 1.0591837  1.0699917  1.0807997 ]"
2,"[0.0107978  0.02159559 0.03239339 0.04319119 0.05398898 0.06478678
 0.07558457 0.08638237 0.09718017 0.10797796 0.11877576 0.12957356
 0.14037135 0.15116915 0.16196694 0.17276474 0.18356254 0.19436033
 0.20515813 0.21595593 0.22675372 0.23755152 0.24834931 0.25914711
 0.26994491 0.2807427  0.2915405  0.3023383  0.31313609 0.32393389
 0.33473169 0.34552948 0.35632728 0.36712507 0.37792287 0.38872067
 0.39951846 0.41031626 0.42111406 0.43191185 0.44270965 0.45350744
 0.46430524 0.47510304 0.48590083 0.49669863 0.50749643 0.51829422
 0.52909202 0.53988981 0.55068761 0.56148541 0.5722832  0.583081
 0.5938788  0.60467659 0.61547439 0.62627219 0.63706998 0.64786778
 0.65866557 0.66946337 0.68026117 0.69105896 0.70185676 0.71265456
 0.72345235 0.73425015 0.74504794 0.75584574 0.76664354 0.77744133
 0.78823913 0.79903693 0.80983472 0.82063252 0.83143031 0.84222811
 0.85302591 0.8638237  0.8746215  0.8854193  0.89621709 0.90701489
 0.91781269 0.92861048 0.93940828 0.95020607 0.96100387 0.97180167
 0.98259946 0.99339726 1.00419506 1.01499285 1.02579065 1.03658844
 1.04738624 1.05818404 1.06898183 1.07977963]"
3,"[0.0108583  0.0217166  0.03257489 0.04343319 0.05429149 0.06514979
 0.07600809 0.08686638 0.09772468 0.10858298 0.11944128 0.13029958
 0.14115787 0.15201617 0.16287447 0.17373277 0.18459106 0.19544936
 0.20630766 0.21716596 0.22802426 0.23888255 0.24974085 0.26059915
 0.27145745 0.28231575 0.29317404 0.30403234 0.31489064 0.32574894
 0.33660724 0.34746553 0.35832383 0.36918213 0.38004043 0.39089873
 0.40175702 0.41261532 0.42347362 0.43433192 0.44519022 0.45604851
 0.46690681 0.47776511 0.48862341 0.4994817  0.51034    0.5211983
 0.5320566  0.5429149  0.55377319 0.56463149 0.57548979 0.58634809
 0.59720639 0.60806468 0.61892298 0.62978128 0.64063958 0.65149788
 0.66235617 0.67321447 0.68407277 0.69493107 0.70578937 0.71664766
 0.72750596 0.73836426 0.74922256 0.76008086 0.77093915 0.78179745
 0.79265575 0.80351405 0.81437234 0.82523064 0.83608894 0.84694724
 0.85780554 0.86866383 0.87952213 0.89038043 0.90123873 0.91209703
 0.92295532 0.93381362 0.94467192 0.95553022 0.96638852 0.97724681
 0.98810511 0.99896341 1.00982171 1.02068001 1.0315383  1.0423966
 1.0532549  1.0641132  1.0749715  1.08582979]"
4,"[0.01085511 0.02171022 0.03256533 0.04342043 0.05427554 0.06513065
 0.07598576 0.08684087 0.09769598 0.10855109 0.11940619 0.1302613
 0.14111641 0.15197152 0.16282663 0.17368174 0.18453685 0.19539195
 0.20624706 0.21710217 0.22795728 0.23881239 0.2496675  0.26052261
 0.27137772 0.28223282 0.29308793 0.30394304 0.31479815 0.32565326
 0.33650837 0.34736348 0.35821858 0.36907369 0.3799288  0.39078391
 0.40163902 0.41249413 0.42334924 0.43420434 0.44505945 0.45591456
 0.46676967 0.47762478 0.48847989 0.499335   0.5101901  0.52104521
 0.53190032 0.54275543 0.55361054 0.56446565 0.57532076 0.58617586
 0.59703097 0.60788608 0.61874119 0.6295963  0.64045141 0.65130652
 0.66216162 0.67301673 0.68387184 0.69472695 0.70558206 0.71643717
 0.72729228 0.73814739 0.74900249 0.7598576  0.77071271 0.78156782
 0.79242293 0.80327804 0.81413315 0.82498825 0.83584336 0.84669847
 0.85755358 0.86840869 0.8792638  0.89011891 0.90097401 0.91182912
 0.92268423 0.93353934 0.94439445 0.95524956 0.96610467 0.97695977
 0.98781488 0.99866999 1.0095251  1.02038021 1.03123532 1.04209043
 1.05294553 1.06380064 1.07465575 1.08551086]"
5,"[0.01081473 0.02162947 0.0324442  0.04325893 0.05407367 0.0648884
 0.07570313 0.08651786 0.0973326  0.10814733 0.11896206 0.1297768
 0.14059153 0.15140626 0.162221   0.17303573 0.18385046 0.19466519
 0.20547993 0.21629466 0.22710939 0.23792413 0.24873886 0.25955359
 0.27036833 0.28118306 0.29199779 0.30281252 0.31362726 0.32444199
 0.33525672 0.34607146 0.35688619 0.36770092 0.37851566 0.38933039
 0.40014512 0.41095985 0.42177459 0.43258932 0.44340405 0.45421879
 0.46503352 0.47584825 0.48666299 0.49747772 0.50829245 0.51910718
 0.52992192 0.54073665 0.55155138 0.56236612 0.57318085 0.58399558
 0.59481032 0.60562505 0.61643978 0.62725451 0.63806925 0.64888398
 0.65969871 0.67051345 0.68132818 0.69214291 0.70295765 0.71377238
 0.72458711 0.73540184 0.74621658 0.75703131 0.76784604 0.77866078
 0.78947551 0.80029024 0.81110498 0.82191971 0.83273444 0.84354917
 0.85436391 0.86517864 0.87599337 0.88680811 0.89762284 0.90843757
 0.91925231 0.93006704 0.94088177 0.9516965  0.96251124 0.97332597
 0.9841407  0.99495544 1.00577017 1.0165849  1.02739964 1.03821437
 1.0490291  1.05984383 1.07065857 1.0814733 ]"
6,"[0.01063475 0.0212695  0.03190425 0.04253901 0.05317376 0.06380851
 0.07444326 0.08507801 0.09571276 0.10634751 0.11698227 0.12761702
 0.13825177 0.14888652 0.15952127 0.17015602 0.18079077 0.19142553
 0.20206028 0.21269503 0.22332978 0.23396453 0.24459928 0.25523403
 0.26586879 0.27650354 0.28713829 0.29777304 0.30840779 0.31904254
 0.32967729 0.34031205 0.3509468  0.36158155 0.3722163  0.38285105
 0.3934858  0.40412055 0.41475531 0.42539006 0.43602481 0.44665956
 0.45729431 0.46792906 0.47856381 0.48919857 0.49983332 0.51046807
 0.52110282 0.53173757 0.54237232 0.55300707 0.56364183 0.57427658
 0.58491133 0.59554608 0.60618083 0.61681558 0.62745033 0.63808509
 0.64871984 0.65935459 0.66998934 0.68062409 0.69125884 0.70189359
 0.71252835 0.7231631  0.73379785 0.7444326  0.75506735 0.7657021
 0.77633685 0.78697161 0.79760636 0.80824111 0.81887586 0.82951061
 0.84014536 0.85078011 0.86141487 0.87204962 0.88268437 0.89331912
 0.90395387 0.91458862 0.92522337 0.93585813 0.94649288 0.95712763
 0.96776238 0.97839713 0.98903188 0.99966663 1.01030139 1.02093614
 1.03157089 1.04220564 1.05284039 1.06347514]"
7,"[-5.99517744e-15  1.06904866e-02  2.13809732e-02  3.20714599e-02
  4.27619465e-02  5.34524331e-02  6.41429197e-02  7.48334064e-02
  8.55238930e-02  9.62143796e-02  1.06904866e-01  1.17595353e-01
  1.28285839e-01  1.38976326e-01  1.49666813e-01  1.60357299e-01
  1.71047786e-01  1.81738273e-01  1.92428759e-01  2.03119246e-01
  2.13809732e-01  2.24500219e-01  2.35190706e-01  2.45881192e-01
  2.56571679e-01  2.67262166e-01  2.77952652e-01  2.88643139e-01
  2.99333625e-01  3.10024112e-01  3.20714599e-01  3.31405085e-01
  3.42095572e-01  3.52786059e-01  3.63476545e-01  3.74167032e-01
  3.84857518e-01  3.95548005e-01  4.06238492e-01  4.16928978e-01
  4.27619465e-01  4.38309952e-01  4.49000438e-01  4.59690925e-01
  4.70381411e-01  4.81071898e-01  4.91762385e-01  5.02452871e-01
  5.13143358e-01  5.23833845e-01  5.34524331e-01  5.45214818e-01
  5.55905304e-01  5.66595791e-01  5.77286278e-01  5.87976764e-01
  5.98667251e-01  6.09357738e-01  6.20048224e-01  6.30738711e-01
  6.41429197e-01  6.52119684e-01  6.62810171e-01  6.73500657e-01
  6.84191144e-01  6.94881631e-01  7.05572117e-01  7.16262604e-01
  7.26953090e-01  7.37643577e-01  7.48334064e-01  7.59024550e-01
  7.69715037e-01  7.80405523e-01  7.91096010e-01  8.01786497e-01
  8.12476983e-01  8.23167470e-01  8.33857957e-01  8.44548443e-01
  8.55238930e-01  8.65929416e-01  8.76619903e-01  8.87310390e-01
  8.98000876e-01  9.08691363e-01  9.19381850e-01  9.30072336e-01
  9.40762823e-01  9.51453309e-01  9.62143796e-01  9.72834283e-01
  9.83524769e-01  9.94215256e-01  1.00490574e+00  1.01559623e+00
  1.02628672e+00  1.03697720e+00  1.04766769e+00  1.05835818e+00]"
8,"[9.10377501e-15 1.06669145e-02 2.13338289e-02 3.20007434e-02
 4.26676578e-02 5.33345723e-02 6.40014867e-02 7.46684012e-02
 8.53353156e-02 9.60022301e-02 1.06669145e-01 1.17336059e-01
 1.28002973e-01 1.38669888e-01 1.49336802e-01 1.60003717e-01
 1.70670631e-01 1.81337546e-01 1.92004460e-01 2.02671375e-01
 2.13338289e-01 2.24005203e-01 2.34672118e-01 2.45339032e-01
 2.56005947e-01 2.66672861e-01 2.77339776e-01 2.88006690e-01
 2.98673605e-01 3.09340519e-01 3.20007434e-01 3.30674348e-01
 3.41341262e-01 3.52008177e-01 3.62675091e-01 3.73342006e-01
 3.84008920e-01 3.94675835e-01 4.05342749e-01 4.16009664e-01
 4.26676578e-01 4.37343492e-01 4.48010407e-01 4.58677321e-01
 4.69344236e-01 4.80011150e-01 4.90678065e-01 5.01344979e-01
 5.12011894e-01 5.22678808e-01 5.33345723e-01 5.44012637e-01
 5.54679551e-01 5.65346466e-01 5.76013380e-01 5.86680295e-01
 5.97347209e-01 6.08014124e-01 6.18681038e-01 6.29347953e-01
 6.40014867e-01 6.50681782e-01 6.61348696e-01 6.72015610e-01
 6.82682525e-01 6.93349439e-01 7.04016354e-01 7.14683268e-01
 7.25350183e-01 7.36017097e-01 7.46684012e-01 7.57350926e-01
 7.68017840e-01 7.78684755e-01 7.89351669e-01 8.00018584e-01
 8.10685498e-01 8.21352413e-01 8.32019327e-01 8.42686242e-01
 8.53353156e-01 8.64020071e-01 8.74686985e-01 8.85353899e-01
 8.96020814e-01 9.06687728e-01 9.17354643e-01 9.28021557e-01
 9.38688472e-01 9.49355386e-01 9.60022301e-01 9.70689215e-01
 9.81356129e-01 9.92023044e-01 1.00268996e+00 1.01335687e+00
 1.02402379e+00 1.03469070e+00 1.04535762e+00 1.05602453e+00]"
9,"[0.01063251 0.02126502 0.03189753 0.04253004 0.05316255 0.06379506
 0.07442757 0.08506008 0.09569259 0.1063251  0.11695761 0.12759012
 0.13822263 0.14885514 0.15948765 0.17012016 0.18075267 0.19138518
 0.20201769 0.2126502  0.22328271 0.23391521 0.24454772 0.25518023
 0.26581274 0.27644525 0.28707776 0.29771027 0.30834278 0.31897529
 0.3296078  0.34024031 0.35087282 0.36150533 0.37213784 0.38277035
 0.39340286 0.40403537 0.41466788 0.42530039 0.4359329  0.44656541
 0.45719792 0.46783043 0.47846294 0.48909545 0.49972796 0.51036047
 0.52099298 0.53162549 0.542258   0.55289051 0.56352302 0.57415553
 0.58478804 0.59542055 0.60605306 0.61668557 0.62731808 0.63795059
 0.6485831  0.65921561 0.66984812 0.68048063 0.69111314 0.70174564
 0.71237815 0.72301066 0.73364317 0.74427568 0.75490819 0.7655407
 0.77617321 0.78680572 0.79743823 0.80807074 0.81870325 0.82933576
 0.83996827 0.85060078 0.86123329 0.8718658  0.88249831 0.89313082
 0.90376333 0.91439584 0.92502835 0.93566086 0.94629337 0.95692588
 0.96755839 0.9781909  0.98882341 0.99945592 1.01008843 1.02072094
 1.03135345 1.04198596 1.05261847 1.06325098]"
