Time	Status code	Status category	Status color	Pgm code	Pgm step	Pgm para	Pgm cycle	mV	mA	Temperature	Duration	Charge count	Discharge count	Capacity	Analog input 1	Analog input 2	Analog input 3	Analog input 4	Digital input 1	Digital input 2	Digital input 3	Digital input 4	Digital output 1	Digital output 2	Digital output 3	Digital output 4	Analog output 1	Analog output 2	
0.000000	8	4	3	0	1	3	2	1917	53	23	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.826567	8	4	3	0	1	3	2	2688	65	23	51	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.823033	8	4	3	0	1	3	2	2811	66	24	111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.835367	8	4	3	0	1	3	2	2834	66	23	172	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.831833	8	4	3	0	1	3	2	2887	67	23	232	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.308483	8	3	3	0	1	2	2	3193	312	24	260	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.828317	8	3	3	0	1	2	2	3597	675	24	292	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.824800	8	3	3	0	1	2	2	3799	674	24	351	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.819833	8	3	3	0	1	2	2	3911	674	23	411	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.835033	8	3	3	0	1	2	2	3975	674	23	472	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.830083	8	3	3	0	1	2	2	4030	674	23	532	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.826567	8	3	3	0	1	2	2	4079	675	23	591	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10.821600	8	3	3	0	1	2	2	4120	675	23	651	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11.833917	8	3	3	0	1	2	2	4138	666	24	712	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12.821767	8	3	3	0	1	2	2	4157	664	23	771	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13.829767	8	3	3	0	1	2	2	4161	662	23	831	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.832000	8	3	3	0	1	2	2	4164	663	23	892	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15.838567	8	3	3	0	1	2	2	4166	663	23	952	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16.823517	8	3	3	0	1	2	2	4169	662	23	1011	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17.831517	8	3	3	0	1	2	2	4174	662	23	1072	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18.836633	8	3	3	0	1	2	2	4178	661	23	1132	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19.823033	8	3	3	0	1	2	2	4182	661	23	1191	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20.828167	8	3	3	0	1	2	2	4186	660	23	1251	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21.834717	8	3	3	0	1	2	2	4190	659	23	1312	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22.819683	8	3	3	0	1	2	2	4194	658	23	1371	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23.826233	8	3	3	0	1	2	2	4199	658	23	1431	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24.834233	8	3	3	0	1	2	2	4204	657	23	1492	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25.836483	8	3	3	0	1	2	2	4204	650	23	1552	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26.824317	8	3	3	0	1	2	2	4204	644	23	1611	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27.830883	8	3	3	0	1	2	2	4204	638	23	1671	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28.833117	8	3	3	0	1	2	2	4204	630	23	1732	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29.839683	8	3	3	0	1	2	2	4204	624	23	1792	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30.824633	8	3	3	0	1	2	2	4204	619	23	1851	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.831200	8	3	3	0	1	2	2	4204	613	23	1912	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32.836317	8	3	3	0	1	2	2	4204	609	23	1972	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
